dataset,group,group_color,modality,dotpath,unit,value
anat,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.total_h,h,
anat,Brain recordings,#4472C4,EEG,neuroimaging.eeg.total_h,h,
anat,Brain recordings,#4472C4,MEG,neuroimaging.meg.total_h,h,
anat,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
anat,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
anat,Tasks,#538135,Images,tasks.images.total_unique,#img,
anat,Tasks,#538135,Video,tasks.video.total_unique,h,
anat,Tasks,#538135,Audio,tasks.audio.total_unique,h,
anat,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,
anat,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
anat,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
anat,Tasks,#538135,Controlled,tasks.controlled.total_h,h,
anat,Tasks,#538135,Games,tasks.game.total_h,h,
anat,Tasks,#538135,Contrasts,tasks.contrasts.total,#,
anat,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
anat,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,
anat,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,
anat,Physiology,#7030A0,EDA,physiology.eda.total_h,h,
anat,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
emotion-videos,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.total_h,h,25.9
emotion-videos,Brain recordings,#4472C4,EEG,neuroimaging.eeg.total_h,h,
emotion-videos,Brain recordings,#4472C4,MEG,neuroimaging.meg.total_h,h,
emotion-videos,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
emotion-videos,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
emotion-videos,Tasks,#538135,Images,tasks.images.total_unique,#img,
emotion-videos,Tasks,#538135,Video,tasks.video.total_unique,h,5.2
emotion-videos,Tasks,#538135,Audio,tasks.audio.total_unique,h,
emotion-videos,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,
emotion-videos,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
emotion-videos,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
emotion-videos,Tasks,#538135,Controlled,tasks.controlled.total_h,h,
emotion-videos,Tasks,#538135,Games,tasks.game.total_h,h,
emotion-videos,Tasks,#538135,Contrasts,tasks.contrasts.total,#,
emotion-videos,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,25.9
emotion-videos,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,25.9
emotion-videos,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,25.9
emotion-videos,Physiology,#7030A0,EDA,physiology.eda.total_h,h,25.9
emotion-videos,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,25.9
floc,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.total_h,h,2.3
floc,Brain recordings,#4472C4,EEG,neuroimaging.eeg.total_h,h,
floc,Brain recordings,#4472C4,MEG,neuroimaging.meg.total_h,h,
floc,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
floc,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
floc,Tasks,#538135,Images,tasks.images.total_unique,#img,
floc,Tasks,#538135,Video,tasks.video.total_unique,h,
floc,Tasks,#538135,Audio,tasks.audio.total_unique,h,
floc,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,
floc,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
floc,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
floc,Tasks,#538135,Controlled,tasks.controlled.total_h,h,3.1
floc,Tasks,#538135,Games,tasks.game.total_h,h,
floc,Tasks,#538135,Contrasts,tasks.contrasts.total,#,9.0
floc,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
floc,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,
floc,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,
floc,Physiology,#7030A0,EDA,physiology.eda.total_h,h,
floc,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,
friends,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.total_h,h,371.5
friends,Brain recordings,#4472C4,EEG,neuroimaging.eeg.total_h,h,
friends,Brain recordings,#4472C4,MEG,neuroimaging.meg.total_h,h,
friends,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
friends,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
friends,Tasks,#538135,Images,tasks.images.total_unique,#img,
friends,Tasks,#538135,Video,tasks.video.total_unique,h,65.0
friends,Tasks,#538135,Audio,tasks.audio.total_unique,h,65.0
friends,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,65.0
friends,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
friends,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
friends,Tasks,#538135,Controlled,tasks.controlled.total_h,h,
friends,Tasks,#538135,Games,tasks.game.total_h,h,
friends,Tasks,#538135,Contrasts,tasks.contrasts.total,#,
friends,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,368.0
friends,Physiology,#7030A0,Resp.,physiology.respiration.total_h,h,368.0
friends,Physiology,#7030A0,PPG,physiology.plethysmograph.total_h,h,368.0
friends,Physiology,#7030A0,EDA,physiology.eda.total_h,h,368.0
friends,Physiology,#7030A0,Eye,physiology.eye_tracking.total_h,h,110.0
gamepad,Brain recordings,#4472C4,fMRI,neuroimaging.fmri.total_h,h,2.9
gamepad,Brain recordings,#4472C4,EEG,neuroimaging.eeg.total_h,h,
gamepad,Brain recordings,#4472C4,MEG,neuroimaging.meg.total_h,h,
gamepad,Brain recordings,#4472C4,iEEG,neuroimaging.ieeg.total_h,h,
gamepad,Brain recordings,#4472C4,Ca²⁺,neuroimaging.calcium_imaging.total_h,h,
gamepad,Tasks,#538135,Images,tasks.images.total_unique,#img,
gamepad,Tasks,#538135,Video,tasks.video.total_unique,h,
gamepad,Tasks,#538135,Audio,tasks.audio.total_unique,h,
gamepad,Tasks,#538135,Speech,tasks.speech_listening.total_unique,h,
gamepad,Tasks,#538135,Text,tasks.text_reading.total_unique,h,
gamepad,Tasks,#538135,Rest,tasks.resting_state.total_h,h,
gamepad,Tasks,#538135,Controlled,tasks.controlled.total_h,h,2.67
gamepad,Tasks,#538135,Games,tasks.game.total_h,h,
gamepad,Tasks,#538135,Contrasts,tasks.contrasts.total,#,
gamepad,Physiology,#7030A0,ECG,physiology.ecg.total_h,h,
