dataset,group,group_color,modality,dotpath,unit,value
anat,Brain,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,
anat,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
anat,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
anat,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
anat,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
anat,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
anat,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
anat,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
anat,Tasks,#538135,Games,tasks.game.per_subject_h,h,
anat,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
anat,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
anat,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
anat,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
anat,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
anat,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
emotion-videos,Brain,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,5.2
emotion-videos,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
emotion-videos,Tasks,#538135,Video,tasks.video.per_subject_unique,h,5.2
emotion-videos,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
emotion-videos,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
emotion-videos,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
emotion-videos,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
emotion-videos,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
emotion-videos,Tasks,#538135,Games,tasks.game.per_subject_h,h,
emotion-videos,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,
emotion-videos,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,5.2
emotion-videos,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,5.2
emotion-videos,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,5.2
emotion-videos,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,5.2
emotion-videos,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,5.2
floc,Brain,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,0.8
floc,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
floc,Tasks,#538135,Video,tasks.video.per_subject_unique,h,
floc,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,
floc,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,
floc,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
floc,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
floc,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,0.77
floc,Tasks,#538135,Games,tasks.game.per_subject_h,h,
floc,Tasks,#538135,Contrasts,tasks.contrasts.per_subject,#,9.0
floc,Physiology,#7030A0,ECG,physiology.ecg.per_subject_h,h,
floc,Physiology,#7030A0,Resp.,physiology.respiration.per_subject_h,h,
floc,Physiology,#7030A0,PPG,physiology.plethysmograph.per_subject_h,h,
floc,Physiology,#7030A0,EDA,physiology.eda.per_subject_h,h,
floc,Physiology,#7030A0,Eye,physiology.eye_tracking.per_subject_h,h,
friends,Brain,#4472C4,fMRI,neuroimaging.fmri.per_subject_h,h,61.9
friends,Tasks,#538135,Images,tasks.images.per_subject_unique,#img,
friends,Tasks,#538135,Video,tasks.video.per_subject_unique,h,65.0
friends,Tasks,#538135,Audio,tasks.audio.per_subject_unique,h,65.0
friends,Tasks,#538135,Speech,tasks.speech_listening.per_subject_unique,h,65.0
friends,Tasks,#538135,Text,tasks.text_reading.per_subject_unique,h,
friends,Tasks,#538135,Rest,tasks.resting_state.per_subject_h,h,
friends,Tasks,#538135,Controlled,tasks.controlled.per_subject_h,h,
