dataset,subject,status,note
anat,sub-01,available,
anat,sub-02,available,
anat,sub-03,available,
anat,sub-04,available,
anat,sub-05,available,
anat,sub-06,available,
emotion-videos,sub-01,available,
emotion-videos,sub-02,available,
emotion-videos,sub-03,available,
emotion-videos,sub-04,not_collected,
emotion-videos,sub-05,available,
emotion-videos,sub-06,available,
floc,sub-01,available,
floc,sub-02,available,
floc,sub-03,available,
floc,sub-04,not_collected,
floc,sub-05,not_collected,
floc,sub-06,not_collected,
friends,sub-01,available,
friends,sub-02,available,
friends,sub-03,available,
friends,sub-04,partial,seasons 1–4 only
friends,sub-05,available,
friends,sub-06,available,
gamepad,sub-01,available,
gamepad,sub-02,available,
gamepad,sub-03,available,
gamepad,sub-04,not_collected,
gamepad,sub-05,not_collected,
gamepad,sub-06,available,
harrypotter,sub-01,available,
harrypotter,sub-02,available,
harrypotter,sub-03,available,
harrypotter,sub-04,not_collected,
harrypotter,sub-05,available,
harrypotter,sub-06,available,
hcptrt,sub-01,available,
hcptrt,sub-02,available,
hcptrt,sub-03,available,
hcptrt,sub-04,available,
hcptrt,sub-05,available,
hcptrt,sub-06,available,
hearing,sub-01,available,
hearing,sub-02,available,
hearing,sub-03,available,
hearing,sub-04,available,
hearing,sub-05,available,
hearing,sub-06,available,
langlocalizer,sub-01,available,
langlocalizer,sub-02,available,
langlocalizer,sub-03,available,
langlocalizer,sub-04,not_collected,
langlocalizer,sub-05,available,
langlocalizer,sub-06,not_collected,
mario,sub-01,available,
mario,sub-02,available,
mario,sub-03,available,
mario,sub-04,not_collected,
mario,sub-05,available,
mario,sub-06,available,
mario3,sub-01,available,
mario3,sub-02,available,
mario3,sub-03,available,
mario3,sub-04,not_collected,
mario3,sub-05,available,
mario3,sub-06,available,
mario_eeg,sub-01,available,
mario_eeg,sub-02,available,
mario_eeg,sub-03,available,
mario_eeg,sub-04,not_collected,
mario_eeg,sub-05,not_collected,
mario_eeg,sub-06,not_collected,
mariostars,sub-01,available,
mariostars,sub-02,available,
mariostars,sub-03,available,
mariostars,sub-04,not_collected,
mariostars,sub-05,available,
mariostars,sub-06,available,
movie10,sub-01,available,
movie10,sub-02,available,
movie10,sub-03,available,
movie10,sub-04,available,
movie10,sub-05,available,
movie10,sub-06,available,
multfs,sub-01,available,
multfs,sub-02,available,
multfs,sub-03,available,
multfs,sub-04,not_collected,
multfs,sub-05,available,
multfs,sub-06,available,
mutemusic,sub-01,available,
mutemusic,sub-02,available,
mutemusic,sub-03,available,
mutemusic,sub-04,not_collected,
mutemusic,sub-05,available,
mutemusic,sub-06,available,
narratives,sub-01,available,
narratives,sub-02,available,
narratives,sub-03,available,
narratives,sub-04,not_collected,
narratives,sub-05,available,
narratives,sub-06,available,
ood,sub-01,not_collected,
ood,sub-02,available,
ood,sub-03,available,
ood,sub-04,not_collected,
ood,sub-05,available,
ood,sub-06,not_collected,
petit-prince,sub-01,available,
petit-prince,sub-02,available,
petit-prince,sub-03,available,
petit-prince,sub-04,not_collected,
petit-prince,sub-05,available,
petit-prince,sub-06,available,
retinotopy,sub-01,available,
retinotopy,sub-02,available,
retinotopy,sub-03,available,
retinotopy,sub-04,not_collected,
retinotopy,sub-05,available,
retinotopy,sub-06,not_collected,
shinobi,sub-01,available,
shinobi,sub-02,available,
shinobi,sub-03,not_collected,
shinobi,sub-04,available,11 sessions (vs 12 for other participants)
shinobi,sub-05,not_collected,
shinobi,sub-06,available,~7 h fMRI (vs ~8 h for other participants)
things,sub-01,available,
things,sub-02,available,
things,sub-03,available,ses-024–026 administered out of planned order
things,sub-04,not_collected,
things,sub-05,not_collected,
things,sub-06,available,3840 unique images (vs 4320); ses-019–026 administered out of planned order
triplets,sub-01,available,
triplets,sub-02,available,
triplets,sub-03,available,
triplets,sub-04,not_collected,
triplets,sub-05,not_collected,
triplets,sub-06,available,
